Target,FA,Order,value
absent,nowarning,sequential,0.17707375404123799
absent,nowarning,sequential,0.037885803100268775
absent,nowarning,sequential,0.12449556785985696
absent,nowarning,sequential,0.11635399936326876
absent,nowarning,sequential,0.14397359622989145
absent,nowarning,sequential,0.2583493716436956
absent,nowarning,sequential,0.11657181151868104
absent,nowarning,sequential,0.22977562983430563
absent,nowarning,sequential,0.2572570879644598
absent,nowarning,sequential,0.2018991276600171
absent,nowarning,sequential,0.3793030161512029
absent,nowarning,sequential,0.2749749020141434
absent,nowarning,sequential,0.16767933882615851
absent,nowarning,sequential,0.09690824642731334
absent,nowarning,sequential,0.17480907728260475
absent,nowarning,sequential,0.1637948570027402
absent,nowarning,sequential,0.15113889384807327
absent,nowarning,sequential,0.12448239534447769
absent,nowarning,sequential,0.18813849252077094
absent,nowarning,sequential,0.1880419538088136
absent,nowarning,sequential,0.1235367016605147
absent,nowarning,sequential,0.21842904565663765
absent,nowarning,sequential,0.09836361019816658
absent,nowarning,sequential,0.09018988632405005
absent,nowarning,sequential,0.14881025452656893
absent,nowarning,sequential,0.10698335982826328
absent,nowarning,sequential,0.03561199286173019
absent,nowarning,sequential,0.0324292309093193
absent,nowarning,sequential,0.305670336838287
absent,nowarning,sequential,0.17252459274043627
absent,nowarning,sequential,0.1635982175139615
absent,nowarning,sequential,0.18487873373984506
absent,nowarning,sequential,0.15000994598231304
absent,nowarning,sequential,0.11484512790158902
absent,nowarning,sequential,0.1656354430106916
absent,nowarning,sequential,0.17581209088342997
absent,nowarning,sequential,0.13210677970319473
absent,nowarning,sequential,0.0993005963603961
absent,nowarning,sequential,0.03109326244822356
absent,nowarning,sequential,0.009080939234959097
absent,nowarning,sequential,0.014501143170093695
absent,nowarning,sequential,0.0366574787905325
absent,nowarning,sequential,0.0471906301850226
absent,nowarning,sequential,0.14381371750329325
absent,nowarning,sequential,0.34746712496723364
absent,nowarning,sequential,0.19433083019384062
absent,nowarning,sequential,0.10043470763822597
absent,nowarning,sequential,0.18142157131455067
absent,nowarning,sequential,0.21610541820653206
absent,nowarning,sequential,0.1487596853979642
absent,nowarning,sequential,0.7113345854527119
absent,nowarning,sequential,0.20302362108282537
absent,nowarning,sequential,0.0950048148601242
absent,nowarning,sequential,0.1187314110189417
absent,nowarning,sequential,0.062338546393062924
absent,nowarning,sequential,0.12150414455630379
