responses,TP,n,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
1,absent,11.176470588235293,1,1,absent,22.7740906942322,6.059070218988469,12.447094580990727,32.169000207102876
1,present,11.176470588235293,1,1,present,18.38062153434741,3.871432720772524,11.41723545423012,27.043805237226657
1.0909090909090908,absent,11.176470588235293,1,1.0909090909090908,absent,22.387806484579002,5.954305924010967,12.322006448508667,31.97352828211931
1.0909090909090908,present,11.176470588235293,1,1.0909090909090908,present,18.17135868021187,3.793585781916687,11.325997920672997,26.741168813869493
1.1818181818181819,absent,11.176470588235293,1,1.1818181818181819,absent,21.991874259640788,5.8500424099781565,12.196833377189884,31.747602764135966
1.1818181818181819,present,11.176470588235293,1,1.1818181818181819,present,17.969180797167354,3.7260864208990028,11.241220407640377,26.42436878073575
1.2727272727272727,absent,11.176470588235293,1,1.2727272727272727,absent,21.60224393638638,5.746040807321177,12.064192601288292,31.50883728074815
1.2727272727272727,present,11.176470588235293,1,1.2727272727272727,present,17.762012946301816,3.655555417647481,11.180216628438775,26.102781038660652
1.3636363636363638,absent,11.176470588235293,1,1.3636363636363638,absent,21.215552823258818,5.606350076731657,11.933539479502592,31.250762848402793
1.3636363636363638,present,11.176470588235293,1,1.3636363636363638,present,17.554112016583897,3.583540120812819,11.08714444454072,25.774391664071537
1.4545454545454546,absent,11.176470588235293,1,1.4545454545454546,absent,20.836518394882894,5.465355499893045,11.798315978054724,30.95756523913061
1.4545454545454546,present,11.176470588235293,1,1.4545454545454546,present,17.342632959867302,3.5089798338391573,11.016003731430732,25.45366669640008
1.5454545454545454,absent,11.176470588235293,1,1.5454545454545454,absent,20.468438295812042,5.329803873364144,11.660682754746349,30.631127669000524
1.5454545454545454,present,11.176470588235293,1,1.5454545454545454,present,17.141832180786746,3.4411698880026433,10.944101729491248,25.138844693672855
1.6363636363636362,absent,11.176470588235293,1,1.6363636363636362,absent,20.09371857066116,5.198910347941382,11.53143535472501,30.28963811680935
1.6363636363636362,present,11.176470588235293,1,1.6363636363636362,present,16.940581497686125,3.3740963390435574,10.856182562793807,24.793067667225607
1.7272727272727273,absent,11.176470588235293,1,1.7272727272727273,absent,19.722460120482236,5.074856128154882,11.402894879280048,29.935949099503343
1.7272727272727273,present,11.176470588235293,1,1.7272727272727273,present,16.736401021085015,3.308628270618961,10.777741433754331,24.447218253867412
1.8181818181818183,absent,11.176470588235293,1,1.8181818181818183,absent,19.352244711671375,4.942619186667022,11.267638133837279,29.552871596236756
1.8181818181818183,present,11.176470588235293,1,1.8181818181818183,present,16.538499945468764,3.2455786625529,10.691750470160002,24.099826082179327
1.9090909090909092,absent,11.176470588235293,1,1.9090909090909092,absent,18.981499698447188,4.799359716835282,11.122964657116453,29.154498021428957
1.9090909090909092,present,11.176470588235293,1,1.9090909090909092,present,16.330047124449536,3.178718558910739,10.61365575918969,23.758810044582578
2,absent,11.176470588235293,1,2,absent,18.615335730152836,4.656190258711677,10.984928108788136,28.71674632495079
2,present,11.176470588235293,1,2,present,16.12791294306727,3.1066662987719664,10.54129542332048,23.41408166104147
2.090909090909091,absent,11.176470588235293,1,2.090909090909091,absent,18.233006702379207,4.5029210772942285,10.844460691723507,28.268838803928244
2.090909090909091,present,11.176470588235293,1,2.090909090909091,present,15.928690866976261,3.037854480112706,10.465352517875415,23.064685280537894
2.1818181818181817,absent,11.176470588235293,1,2.1818181818181817,absent,17.85337558905993,4.361763739732972,10.720311250949043,27.78236064601885
2.1818181818181817,present,11.176470588235293,1,2.1818181818181817,present,15.727195705309848,2.9728097971315672,10.375001793196263,22.72453029916858
2.2727272727272725,absent,11.176470588235293,1,2.2727272727272725,absent,17.48628562283647,4.229660239747699,10.589913796998077,27.299034141996415
2.2727272727272725,present,11.176470588235293,1,2.2727272727272725,present,15.534891713722601,2.91044921133861,10.286985381579292,22.385138407143867
2.3636363636363638,absent,11.176470588235293,1,2.3636363636363638,absent,17.116200462215826,4.106647522651277,10.465262707290812,26.78171594080882
2.3636363636363638,present,11.176470588235293,1,2.3636363636363638,present,15.336795014420652,2.8497424819176804,10.17421826403387,22.05260683877645
2.4545454545454546,absent,11.176470588235293,1,2.4545454545454546,absent,16.75643637973268,3.9683981304126896,10.32073873229144,26.237066097633363
2.4545454545454546,present,11.176470588235293,1,2.4545454545454546,present,15.140044837869903,2.7881883442708397,10.087420544358952,21.706562197299206
